"Reference","Value","Footprint","MPN","note","Qty"
"C1, C8, C11, C14, C17, C18","1u","Capacitor_SMD:C_0805_2012Metric","","X5R nebo X7R, >16V,10%","6"
"C2, C3","22p","Capacitor_SMD:C_0805_2012Metric","","X5R nebo X7R, >16V,10%","2"
"C6, C10, C13, C15","3.3u","Capacitor_SMD:C_0805_2012Metric","","X5R nebo X7R, >16V,10%","4"
"C7","100n","Capacitor_SMD:C_0805_2012Metric","","X5R nebo X7R, >16V,10%","1"
"C9","0.47u","Capacitor_SMD:C_0805_2012Metric","","X5R nebo X7R, >16V,10%","1"
"D1","D_Schottky","Diode_SMD:D_SMA","SS26A+","","1"
"J1","USB_C_Receptacle_USB2.0","zvukovka_2:Conn_USB_C_Socket_Molex_2171790001","217179-0001","","1"
"J2","Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","NEOSAZOVAT","1"
"L1","1u","zvukovka:SRP2012TMA","SRP2012TMA-1R0M","","1"
"M1-M3","MountingHole","MountingHole:MountingHole_2.2mm_M2_DIN965","","","3"
"R1, R2","33","Resistor_SMD:R_0805_2012Metric","","1%","2"
"R3","1.5k","Resistor_SMD:R_0805_2012Metric","","1%","1"
"R4","1M","Resistor_SMD:R_0805_2012Metric","","1%","1"
"R5, R7","5k1","Resistor_SMD:R_0805_2012Metric","","1%","2"
"R6","5k","Resistor_SMD:R_0805_2012Metric","","1%","1"
"U1","AudioJackShare","zvukovka_2:K3612A","K3612A","https://www.gme.cz/v/1501048/k3612a-jack-35-stereo","1"
"U2","PCM2912APJTR","zvukovka_2:TQFP-32_7x7mm_P0.8mm_netTie","PCM2912APJT","","1"
"U3","LM2766","Package_TO_SOT_SMD:SOT-23-6","LM2766M6X/NOPB","","1"
"Y2","Crystal_GND24","Crystal:Crystal_SMD_7050-4Pin_7.0x5.0mm","EA5070PA20-6.000M TR","","1"
